player_id,player_name,Tier,Final_agg_score,agg_PR_score,agg_RunD_score,Situational_score,apy,Role,Est_APY,Pay_flag,Tier_APY_Z
00-0039112,L.Van Ness,3,214.75228315554966,9.362781982619985,21.542070552826097,27.0,4.347024,Run Defender,7.400814938732556,FairlyPaid,-0.24279065976331815
00-0038127,L.Hall,3,214.26178125261922,5.831955832840883,10.942523003980858,27.733333333333334,6.875,Replacement,6.144591904021972,FairlyPaid,0.24862850793524197
00-0036902,J.Ossai,3,211.79233812949644,11.736860511590727,16.155825339728217,29.466666666666665,11.5,Balanced,8.040049306778819,FairlyPaid,1.147693076034718
00-0033907,D.Smoot,3,211.10336247698734,7.866271767193365,9.945525922908953,29.8,1.5,Replacement,5.99807610893499,FairlyPaid,-0.7962303144506354
00-0039006,F.Anudike-Uzomah,3,200.1671508379888,8.945375543140905,22.01738050900062,13.8,2.954455,Run Defender,6.588907813137882,FairlyPaid,-0.5134954049597981
00-0038107,M.Clemons,3,191.583973018314,5.6401225592991295,17.72437485437346,21.399999999999995,5.666667,Run Defender,6.111110074981636,FairlyPaid,0.013737829715708187
00-0031411,D.Lawrence,4,162.95065368567455,3.8942976356050067,5.563282336578582,52.2,10.833333,Replacement,7.8752643815162475,FairlyPaid,2.3368651715262008
00-0034163,J.Martin,4,160.5760339649995,11.996479237858548,14.37299368333851,18.6,2.585,Pass-Rush Specialist,9.824052121020012,UnderPaid,-0.14535000373074267
00-0038574,I.McGuire,4,159.62763326226013,7.036247334754798,20.46908315565032,21.6,1.137982,Run Defender,9.249755886682383,UnderPaid,-0.5808089065744992
00-0036403,C.Toohill,4,149.37490274577937,6.160469114353617,15.374028332067384,14.933333333333335,1.3375,Replacement,7.192459062913042,UnderPaid,-0.5207668826483418
00-0038096,J.Paschal,4,146.06033550085908,4.945034268974429,12.011477672399801,18.866666666666664,1.933915,Replacement,7.025749747625838,UnderPaid,-0.3412845116346024
00-0039148,K.White,4,142.736772881535,2.843415602537184,5.795643121563863,21.0,1.947543,Replacement,6.858588001418757,FairlyPaid,-0.3371833643593406
00-0033964,A.Muhammad,4,140.4828813559322,6.071587867975023,11.569469223907227,20.2,1.4225,Replacement,6.745226381273408,UnderPaid,-0.49518737586838507
00-0033870,S.Thomas,4,137.11530830074392,3.4737946273480986,9.534959264595537,17.2,3.0,Replacement,6.57585108829347,FairlyPaid,-0.02046182356977783
00-0039340,L.Latu,4,136.8873786407767,8.090614886731391,13.268608414239482,19.0,4.257974,Replacement,6.564387149040159,FairlyPaid,0.35810705245385965
00-0038980,Z.Harrison,4,134.61907305577375,6.624770882429955,21.508684646940736,10.6,1.392112,Run Defender,7.740360672064881,UnderPaid,-0.5043322000099065
00-0035933,M.Hoecht,4,133.9063829787234,5.815602836879433,18.439716312056735,32.0,7.0,Run Defender,7.697346160916568,FairlyPaid,1.183279671957594
00-0036351,J.Smith-Williams,4,133.02627459138427,6.269270530947742,15.21836573660507,12.666666666666666,1.2925,Replacement,6.37018924483009,UnderPaid,-0.5343089744730247
00-0034359,T.Lewis,4,131.3943289489,3.8819695029682224,9.735769991851937,24.6,6.0,Replacement,6.288108985012936,FairlyPaid,0.882344298075751
00-0031177,B.Urban,4,130.13502304147465,5.79621095750128,18.074756784434204,11.333333333333334,0.443722,Run Defender,7.469725194540144,UnderPaid,-0.7897362992457075
00-0034320,K.Street,4,129.42285801049843,4.710472912720104,15.122457931446696,15.933333333333332,0.396,Replacement,6.188951977185372,UnderPaid,-0.804097537158097
