      player_id       player_name  Tier  Final_agg_score  agg_PR_score  agg_RunD_score  Situational_score        apy                  Role    Est_APY    Pay_flag  Tier_APY_Z
66   00-0038574         I.McGuire     4       159.627633      7.036247       20.469083          21.600000   1.137982          Run Defender   9.249756   UnderPaid   -0.580809
67   00-0036403         C.Toohill     4       149.374903      6.160469       15.374028          14.933333   1.337500           Replacement   7.192459   UnderPaid   -0.520767
68   00-0038096         J.Paschal     4       146.060336      4.945034       12.011478          18.866667   1.933915           Replacement   7.025750   UnderPaid   -0.341285
69   00-0039148           K.White     4       142.736773      2.843416        5.795643          21.000000   1.947543           Replacement   6.858588  FairlyPaid   -0.337183
70   00-0033964        A.Muhammad     4       140.482881      6.071588       11.569469          20.200000   1.422500           Replacement   6.745226   UnderPaid   -0.495187
71   00-0033870          S.Thomas     4       137.115308      3.473795        9.534959          17.200000   3.000000           Replacement   6.575851  FairlyPaid   -0.020462
72   00-0039340            L.Latu     4       136.887379      8.090615       13.268608          19.000000   4.257974           Replacement   6.564387  FairlyPaid    0.358107
73   00-0038980        Z.Harrison     4       134.619073      6.624771       21.508685          10.600000   1.392112          Run Defender   7.740361   UnderPaid   -0.504332
74   00-0035933          M.Hoecht     4       133.906383      5.815603       18.439716          32.000000   7.000000          Run Defender   7.697346  FairlyPaid    1.183280
75   00-0036351  J.Smith-Williams     4       133.026275      6.269271       15.218366          12.666667   1.292500           Replacement   6.370189   UnderPaid   -0.534309
76   00-0034359           T.Lewis     4       131.394329      3.881970        9.735770          24.600000   6.000000           Replacement   6.288109  FairlyPaid    0.882344
77   00-0031177           B.Urban     4       130.135023      5.796211       18.074757          11.333333   0.443722          Run Defender   7.469725   UnderPaid   -0.789736
78   00-0034320          K.Street     4       129.422858      4.710473       15.122458          15.933333   0.396000           Replacement   6.188952   UnderPaid   -0.804098
79   00-0037665        S.Williams     4       118.252593     13.804755       22.426862          28.400000   2.500000            Every-Down   8.853356   UnderPaid   -0.170930
80   00-0034371            D.Hand     4       117.234776      5.090684       16.027344          10.000000   2.350000           Replacement   5.575941  FairlyPaid   -0.216070
81   00-0036989          M.Koonce     4       115.800000     16.400000       22.400000          21.800000  11.010000            Every-Down   8.659276  FairlyPaid    2.390031
82   00-0036249          J.Okwara     4       109.734029      6.151956       17.501418          20.266667   0.396000          Run Defender   6.238420   UnderPaid   -0.804098
83   00-0038387          C.Wooden     4       108.144367      4.399767       16.349391           9.000000   1.151982           Replacement   5.118730  FairlyPaid   -0.576596
84   00-0036926          P.Turner     4       108.071642      7.761194       14.925373           9.333333   2.500000           Replacement   5.115072  FairlyPaid   -0.170930
85   00-0035636         L.Collier     4       102.441356      6.271186       11.525424          13.466667   2.000000           Replacement   4.831892  FairlyPaid   -0.321397
86   00-0036711         C.Snowden     4       101.432512      7.635468       21.182266          14.000000   1.075000          Run Defender   5.737381  FairlyPaid   -0.599762
87   00-0027881          J.Hughes     4        98.493458      6.965568       12.296852          33.000000   1.300000           Replacement   4.633328  FairlyPaid   -0.532052
88   00-0035678           D.Jones     4        94.936464      2.588532        5.006477          52.000000  12.166667           Replacement   4.454426    OverPaid    2.738113
89   00-0033093         J.Bullard     4        94.410693      2.251693       11.233114          12.333333   1.422500           Replacement   4.427982  FairlyPaid   -0.495187
90   00-0037251          A.Wright     4        93.608014      6.288363       12.608226          19.466667  11.000000           Replacement   4.387610    OverPaid    2.387021
91   00-0039840          A.Booker     4        89.783746      6.007067       16.961131          14.000000   1.092285           Replacement   4.195265  FairlyPaid   -0.594561
